playerID,B_G,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_G,PI_CG,PI_SV,PI_H,PI_ER,PI_HR,PI_BB,PI_SO,PI_ERA,PI_R,FI_G,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,inducted
oterori01,189,79,157,19,36,18,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,165,139,3747,13,4,3,NULL,109000,1996,NULL
palmema01,63,1,2,0,0,0,0,0,13,7,63,1,0,181,94,15,94,98,31.740000000000002,101,63,20,556,19,2,3,NULL,420000,2010,NULL
pattobi01,9,1,3,1,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,3,0,1,NULL,NULL,NULL,NULL
phillto02,2161,1300,2023,360,819,177,114,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2291,1903,50617,3491,236,652,NULL,4366667,1995,N
ramirca01,17,0,0,0,0,0,0,0,0,0,17,0,0,9,8,3,12,19,9.56,8,17,0,75,0,0,0,NULL,NULL,NULL,NULL
raridbi01,982,272,682,105,272,47,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,952,51,1404,1241,152,82,NULL,NULL,NULL,NULL
reidea01,2,0,0,0,0,0,0,0,1,0,2,0,0,4,1,0,3,2,3,3,2,0,0,0,0,0,NULL,NULL,NULL,NULL
richtal01,6,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,0,11,0,6,NULL,NULL,NULL,NULL
rookebr01,65,29,44,12,21,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,47,1028,2,1,0,NULL,NULL,NULL,NULL
rortvbe01,39,8,15,1,7,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,28,768,14,3,2,NULL,NULL,NULL,NULL
