playerID,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_CG,PI_SV,PI_H,PI_HR,PI_BB,PI_SO,PI_AVG_ERA,PI_R,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,A_G_ALL,A_GP,inducted
hodgegi01,1105,1921,295,1274,63,31,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,966,26722,1365,145,1632,8,2072,0,N
holmeto01,698,1507,292,581,40,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,115,33,37,2,1320,0,N
jenseja01,810,1463,259,929,143,55,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1021,27329,124,68,20,3,1438,0,N
irvinmo01,366,731,97,443,28,7,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,245,6640,158,43,121,1,764,0,Y
kindeel01,34,63,7,33,0,1,0,102,71,56,102,1421,118,539,749,2.9884615384615385,627,2,690,174,9,11,NULL,484,484,N
lemonbo01,148,274,54,147,2,1,0,207,128,188,22,2559,181,1251,1277,3.424615384615384,1185,117,2604,713,33,80,7,615,460,Y
kuzavbo01,21,22,1,10,0,0,0,49,44,34,13,849,54,415,446,4.589333333333333,427,12,337,112,9,9,NULL,214,213,N
lawve01,96,191,35,90,1,0,0,162,147,119,13,2833,268,597,1092,3.9693749999999994,1274,334,7296,453,19,41,1,516,483,N
kellech01,725,1085,166,760,45,23,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,46,46,6,5,1170,0,N
keltnke01,737,1570,308,852,39,33,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,3070,171,306,7,1526,0,N
kinerra01,971,1451,216,1015,22,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,226,5928,109,91,73,6,1472,0,Y
kellge01,881,2054,385,870,51,36,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,394,9842,3326,168,360,10,1795,0,Y
kluszte01,848,1766,290,1028,20,10,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,668,17252,799,97,1269,4,1718,0,N
lavagco01,487,945,183,486,63,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1940,197,237,4,1043,0,N
kuennha01,951,2092,356,671,68,56,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1474,38544,2345,191,468,8,1833,0,N
maglisa01,29,76,5,29,1,0,0,119,62,93,14,1591,169,562,862,3.317142857142857,684,114,2320,280,10,26,2,304,303,N
lopated01,87,187,26,77,0,1,0,166,112,164,3,2464,179,650,859,3.281538461538461,1008,42,917,468,19,30,1,357,340,N
