playerID,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_CG,PI_SV,PI_H,PI_HR,PI_BB,PI_SO,PI_AVG_ERA,PI_R,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,A_YP,A_G_ALL,A_GP,inducted
boehmle01,5,19,4,7,0,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,736,34,3,16,NULL,NULL,NULL,3,50,0,NULL
bogente01,6,13,2,4,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,273,0,0,0,NULL,NULL,NULL,1,24,0,NULL
boggsbr01,34,68,18,43,4,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,2029,7,4,2,NULL,NULL,NULL,4,130,0,NULL
bohmal01,70,148,26,70,5,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,144,3658,224,20,31,NULL,NULL,NULL,2,159,0,NULL
bohnesa01,309,605,87,228,75,59,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1939,140,277,NULL,NULL,NULL,7,663,0,NULL
bohntj01,3,4,1,5,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,207,1,2,0,NULL,NULL,NULL,2,32,0,NULL
boiscbr01,114,241,47,77,18,14,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,188,5688,12,12,2,NULL,NULL,NULL,5,410,0,NULL
bokenbo01,54,113,15,72,4,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,350,44,60,NULL,NULL,NULL,2,147,0,NULL
bolan01,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,24,1,1,0,NULL,NULL,NULL,1,1,0,NULL
bolaned01,11,35,5,23,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,3,8,0,NULL,NULL,NULL,3,57,0,NULL
boldch01,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,0,NULL,NULL,NULL,1,2,0,NULL
bolesca01,4,9,0,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,102,0,1,0,NULL,NULL,NULL,1,19,0,NULL
boleyjo01,203,478,88,227,15,8,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1331,102,245,NULL,NULL,NULL,6,540,0,N
bolgeji01,65,140,14,48,3,4,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127,3473,9,14,1,NULL,NULL,NULL,7,312,0,NULL
bollifr01,692,1415,221,556,40,38,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1446,38946,4019,136,1003,2,NULL,NULL,12,1540,0,NULL
bollija01,48,107,25,38,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,58,10,42,NULL,NULL,NULL,2,125,0,NULL
bollimi01,127,280,50,94,5,12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,213,5893,1079,81,223,NULL,NULL,NULL,7,400,0,NULL
bollwdo01,62,110,22,53,2,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,1740,66,20,100,NULL,NULL,NULL,5,195,0,NULL
boltoce01,1,2,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,2,3,NULL,NULL,NULL,1,4,0,NULL
boltocl01,113,280,49,143,3,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,130,26,19,NULL,NULL,NULL,7,335,0,NULL
boltsk01,6,6,2,4,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,461,0,0,0,NULL,NULL,NULL,2,39,0,NULL
bondsbo01,1258,1886,302,1024,461,169,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1707,45315,128,89,40,3,NULL,NULL,14,1849,0,N
bondwa01,149,307,40,179,10,4,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,305,8032,93,28,99,NULL,NULL,NULL,6,365,0,NULL
bonege01,6,13,2,6,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,270,29,8,6,NULL,NULL,NULL,1,12,0,NULL
bongini01,17,43,7,16,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,1,NULL,NULL,NULL,2,68,0,NULL
bonifjo01,97,178,37,85,1,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177,4770,9,7,2,NULL,NULL,NULL,5,224,0,NULL
boninlu01,6,14,4,4,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4,1,1,NULL,NULL,NULL,2,21,0,NULL
bonnebo01,15,21,5,8,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,933,93,6,18,NULL,NULL,NULL,4,61,0,NULL
bonnefr01,115,244,44,115,28,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5979,631,101,76,NULL,NULL,NULL,6,246,0,NULL
bonurze01,600,1099,232,704,19,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,595,72,815,NULL,NULL,NULL,7,917,0,NULL
booeev01,43,77,10,22,14,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,49,17,10,NULL,NULL,NULL,2,126,0,NULL
bookebu01,6,6,1,5,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,166,2,1,0,NULL,NULL,NULL,2,23,0,NULL
boolal01,35,73,13,53,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,58,9,8,NULL,NULL,NULL,3,129,0,NULL
booneik01,177,372,79,194,3,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,28,21,5,NULL,NULL,NULL,8,356,0,NULL
boonelu01,102,215,27,76,32,35,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,932,77,111,NULL,NULL,NULL,5,319,0,NULL
boonera01,645,1260,162,737,21,19,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,679,17642,2456,218,645,2,NULL,NULL,13,1373,0,NULL
booth01,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,12,1,1,0,NULL,NULL,NULL,1,1,0,NULL
bordafr01,410,745,120,270,66,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,420,76,33,NULL,NULL,NULL,11,931,0,NULL
borgmgl01,137,296,42,151,4,3,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,407,10865,236,28,26,NULL,NULL,NULL,9,474,0,NULL
borkobo01,126,294,43,112,2,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,1141,20,14,8,NULL,NULL,NULL,6,470,0,NULL
boromre01,20,36,4,10,4,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,107,8,17,NULL,NULL,NULL,2,62,0,NULL
borosst01,141,308,50,149,11,6,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,351,9483,594,55,60,NULL,NULL,NULL,7,422,0,NULL
bortoba01,139,254,31,136,21,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,126,26,147,NULL,NULL,NULL,4,317,0,NULL
boscajc01,2,7,1,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,210,4,1,0,NULL,NULL,NULL,4,17,0,NULL
boschdo01,34,52,6,13,4,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,2127,6,4,1,NULL,NULL,NULL,4,146,0,NULL
bosetri01,172,385,70,133,30,34,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,383,10230,45,21,5,NULL,NULL,NULL,7,445,0,NULL
bossha01,64,139,19,61,2,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,80,11,104,NULL,NULL,NULL,4,155,0,NULL
