playerID,B_G,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_G,PI_CG,PI_SV,PI_H,PI_ER,PI_HR,PI_BB,PI_SO,PI_ERA,PI_R,FI_G,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,inducted
coopewa01,1473,573,1341,240,812,18,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1223,89,2386,589,138,80,8,NULL,NULL,N
ashburi01,2189,1322,2574,317,586,234,92,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2106,1204,31872,182,111,44,5,NULL,NULL,Y
clemero01,2433,1416,3000,440,1305,83,46,167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2373,2300,61546,269,142,42,12,NULL,NULL,Y
richepe01,446,21,43,5,15,2,1,0,80,73,429,22,51,959,413,116,424,925,47.260000000000005,463,429,122,3497,168,18,14,2,NULL,NULL,N
coopece01,1896,1012,2192,415,1125,89,49,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1475,1436,38383,1000,121,1348,5,1176190,1985,N
alomaro01,2379,1508,2724,504,1134,474,114,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2325,2288,59751,6536,183,1411,12,8000000,2003,Y
reynosh01,306,34,77,15,43,0,0,0,114,96,305,20,0,1935,814,191,419,1403,54.04,895,305,278,5375,287,9,23,1,7666667,2002,N
clemero02,709,5,31,6,12,0,0,0,354,184,709,118,0,4185,1707,363,1580,4672,77.30000000000001,1885,709,707,14750,575,25,31,11,18000000,2005,N
davisha01,1755,1001,1841,361,951,285,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1742,982,44289,1020,385,686,NULL,NULL,NULL,N
courtcl01,946,260,750,126,313,3,16,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,802,516,13834,379,50,63,NULL,NULL,NULL,N
tolanbo01,1282,572,1121,173,497,193,100,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1135,996,27338,101,58,79,NULL,NULL,NULL,N
coxbo01,220,50,141,22,58,3,3,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,185,4885,424,28,39,NULL,NULL,NULL,Y
dickebi01,1789,930,1969,343,1209,37,29,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1708,0,0,954,108,137,11,NULL,NULL,Y
lemonbo01,615,148,274,54,147,2,1,0,207,128,460,188,22,2559,1024,181,1251,1277,44.519999999999996,1185,476,117,2604,713,33,80,7,NULL,NULL,Y
gossari01,1003,1,9,1,2,0,0,0,124,107,1002,16,310,1497,605,119,732,1502,73.6,670,1002,37,5428,180,21,11,9,1713333,1985,Y
fernasi01,308,28,98,15,34,1,0,0,114,96,307,25,1,1421,696,191,715,1743,60.379999999999995,749,307,301,5600,160,6,5,2,3333333,1996,N
steinte01,1546,638,1453,273,745,23,22,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1480,1358,35702,651,100,111,3,4200000,1996,N
hemusso01,961,459,736,137,263,21,18,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,763,230,6313,1951,114,404,NULL,NULL,NULL,N
newsobo01,609,86,253,28,102,1,1,0,211,222,600,246,21,3769,1664,206,1732,2082,118.52999999999999,1908,600,0,0,534,28,32,4,NULL,NULL,N
petrori01,1553,653,1352,237,773,10,22,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1508,1484,38746,3750,176,589,2,NULL,NULL,N
kennete02,1491,474,1313,244,628,6,15,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1431,1312,34633,638,108,103,4,1020000,1987,N
